FID,Field1,FID_,Inspection,License__,Risk,Zip,Latitude,Longitude,Pass,Violation,exp,Type,year_built,str_name,d_rodent,d_14crime,d_14san_co,d_14en_com,count_insp,PassProb,FailProb,FailRank,FID_1,Inspection_1,DBA_Name,AKA_Name,License__1,Facility_T,Address,City,State,Zip_1,Latitude_1,Longitude_1,Violation_1,Risk1,Type_1,Pass1,d_13fail,d_cri14,d_sancom14
2352,6702,6701,1473534,2294147,Risk 2 (Medium),60647,41.924260820000001,-87.699331749999999,0,0,0,License Re-Inspection,1923,Milwaukee,446.678699999999990,517.090599999999990,370.608099999999980,1670.507300000000000,2,63.32%,36.68%,2353,7735,1473534,EMPORIUM LOGAN SQUARE,EMPORIUM LOGAN SQUARE,2294147,Restaurant,2363-2365 N Milwaukee AVE,CHICAGO,IL,60647,41.924260821399997,-87.699331747900004,0,1,License Re-Inspection,1,358.727300000000010,517.090799999999940,611.466000000000010
2353,6703,6702,1473532,2294149,Risk 2 (Medium),60647,41.924260820000001,-87.699331749999999,0,1,0,License Re-Inspection,1923,Milwaukee,434.754099999999990,517.090599999999990,370.608099999999980,1670.507300000000000,2,63.32%,36.68%,2354,7733,1473532,EMPORIUM LOGAN SQUARE,EMPORIUM LOGAN SQUARE,2294149,Restaurant,2363-2365 N Milwaukee AVE,CHICAGO,IL,60647,41.924260821399997,-87.699331747900004,1,1,License Re-Inspection,1,358.727300000000010,517.090799999999940,660.698800000000010
2354,4528,4527,1497879,2043368,Risk 1 (High),60625,41.972002099999997,-87.708429400000000,1,1,0,Canvass,1922,KEDZIE,768.625800000000030,439.691100000000010,649.744100000000000,1469.508300000000000,2,63.32%,36.68%,2355,2532,1497879,RESTAURANT EL MOGOTE,RESTAURANT EL MOGOTE,2043368,Restaurant,4959 N KEDZIE AVE,CHICAGO,IL,60625,41.972002099100003,-87.708429396699998,1,1,Canvass,1,1448.755799999999900,439.690600000000020,640.153699999999960
2355,4399,4398,1494017,2026300,Risk 1 (High),60625,41.968919579999998,-87.693661419999998,0,1,0,Canvass Re-Inspection,1922,ROCKWELL,494.481600000000010,634.860199999999960,147.180900000000010,1070.745600000000000,2,63.33%,36.67%,2356,4612,1494017,JONG RO,EL LINDO PALMAR,2026300,Restaurant,4811 N ROCKWELL ST,CHICAGO,IL,60625,41.968919579599998,-87.693661422100007,1,1,Canvass Re-Inspection,1,888.774999999999980,634.860300000000050,195.069300000000000
2356,4004,4003,1494200,1968898,Risk 1 (High),60642,41.909398789999997,-87.653050699999994,1,1,0,Canvass,2009,KINGSBURY,78.664699999999996,972.994100000000000,915.343700000000010,1277.020600000000100,2,63.33%,36.67%,2357,4368,1494200,KIKKA- KINGSBURY,KIKKA- KINGSBURY,1968898,Restaurant,1550 N KINGSBURY ST,CHICAGO,IL,60642,41.909398787800001,-87.653050697899999,1,1,Canvass,1,434.101299999999980,972.995000000000000,1037.503400000000100
2357,7227,7226,1473322,2326898,Risk 1 (High),60628,41.705697549999996,-87.642650309999993,0,1,0,License Re-Inspection,2006,HALSTED,1152.949100000000000,451.843700000000010,560.448800000000010,3070.552000000000100,2,63.34%,36.66%,2358,8045,1473322,CHOICE CHINA WOK,CHOICE CHINA WOK,2326898,Restaurant,10341 S HALSTED ST,CHICAGO,IL,60628,41.705697548600000,-87.642650312000001,1,1,License Re-Inspection,1,2296.976600000000000,451.843300000000000,406.819099999999990
2358,7819,7818,1515305,2368847,Risk 1 (High),60629,41.778874219999999,-87.702313559999993,0,1,0,License Re-Inspection,1927,63RD,395.684800000000000,198.722500000000000,350.249000000000020,2938.155299999999900,2,63.35%,36.65%,2359,147,1515305,LOMAS RESTAURANT,LOMAS RESTAURANT,2368847,Restaurant,3141 W 63RD ST,CHICAGO,IL,60629,41.778874221599999,-87.702313555000003,1,1,License Re-Inspection,1,718.020499999999970,198.722199999999990,350.247999999999990
2359,2765,2764,1459828,1622089,Risk 1 (High),60614,41.920080499999997,-87.662480169999995,0,1,0,Canvass Re-Inspection,1935,CLYBOURN,254.162499999999990,641.447800000000030,221.335199999999990,1768.345399999999900,2,63.35%,36.65%,2360,8631,1459828,LINKIN HOUSE,LINKIN HOUSE,1622089,Restaurant,2142 N CLYBOURN AVE,CHICAGO,IL,60614,41.920080499199997,-87.662480168900004,1,1,Canvass Re-Inspection,1,554.539300000000030,641.447999999999980,317.459299999999980
2360,2659,2658,1473309,1593965,Risk 2 (Medium),60609,41.817742740000000,-87.665335010000007,0,1,0,Canvass Re-Inspection,2005,ASHLAND,21087.105299999999000,1113.822500000000000,1001.886400000000000,3023.735900000000100,2,63.36%,36.64%,2361,7974,1473309,MCDONALD'S,MCDONALD'S,1593965,Restaurant,4158 S ASHLAND AVE,CHICAGO,IL,60609,41.817742737000003,-87.665335012300005,1,1,Canvass Re-Inspection,1,670.407900000000040,1113.821400000000000,1520.963800000000000
2361,3006,3005,1473995,1718785,Risk 2 (Medium),60620,41.742420820000000,-87.663091140000006,0,1,0,Canvass Re-Inspection,1978,ASHLAND,1072.772500000000000,477.622700000000010,451.681500000000030,2895.343400000000200,2,63.36%,36.64%,2362,7107,1473995,MCDONALD'S,MCDONALD'S,1718785,Restaurant,8321 S ASHLAND AVE,CHICAGO,IL,60620,41.742420824400000,-87.663091143299994,1,1,Canvass Re-Inspection,1,1703.234400000000100,477.621300000000020,463.366199999999990
2362,7252,7251,1467297,2327216,Risk 1 (High),60607,41.869205579999999,-87.663164449999996,0,0,0,License,1911,TAYLOR,309.651500000000000,437.300700000000010,575.229400000000060,3178.039600000000100,2,63.37%,36.63%,2363,8727,1467297,CHILANGO,LITO'S EMPANADAS,2327216,Restaurant,1437 W TAYLOR ST,CHICAGO,IL,60607,41.869205579000003,-87.663164447400007,0,1,License,1,1177.271700000000000,437.300599999999970,323.152199999999990
