FID,Inspection,DBA_Name,AKA_Name,License__,Facility_T,Address,City,State,Zip,Latitude,Longitude,Violation,Risk1,Type,Pass1,d_13fail,d_cri14,d_sancom14
0,1515542,POPEYES,POPEYES,12199,Restaurant,2800 W DIVERSEY AVE,CHICAGO,IL,60647,41.932205395099999,-87.697679243899998,1,1,Complaint,1,1233.466100000000100,627.315799999999970,220.854099999999990
1,1515533,SUBWAY,SUBWAY,2289496,Restaurant,1232 S CANAL ST,CHICAGO,IL,60607,41.866329535399998,-87.639362587299999,1,1,Canvass Re-Inspection,1,303.240999999999990,1399.689699999999900,1065.209200000000000
2,1515534,SUBWAY,SUBWAY,2197158,Restaurant,1608 W 59TH ST,CHICAGO,IL,60636,41.786849792500000,-87.664801412200006,1,1,Complaint,1,3539.204400000000100,146.484299999999990,378.723999999999990
3,1515536,HAROLD'S CHICKEN',HAROLD'S CHICKEN,2373694,Restaurant,8653 S STATE ST,CHICAGO,IL,60619,41.736529348600001,-87.624018132600000,1,1,License,1,2133.116100000000200,834.207800000000020,338.792800000000000
4,1515540,D & D'S PLACE,D&D PLACE RESTAURANT,2313937,Restaurant,8324 S KEDZIE AVE,CHICAGO,IL,60652,41.741604209099997,-87.702320339799996,1,1,Complaint,1,4460.780800000000500,599.470500000000020,417.622500000000000
5,1515541,BILLYS GOAT'S,BILLY GOAT TAVERN & GRILL,50158,Restaurant,1535 W MADISON ST,CHICAGO,IL,60607,41.881353214400001,-87.665915939300007,1,1,Canvass Re-Inspection,0,1594.948100000000100,405.849800000000020,587.956599999999980
6,1515543,THE CORNED BEEF FACTORY SANDWHICH SHOP,THE CORNED BEEF FACTORY SANDWHICH SHOP,2369237,Restaurant,1009-1011 W LAKE ST,CHICAGO,IL,60607,41.885466893599997,-87.652544691100005,1,1,License,0,327.797800000000000,360.020699999999980,268.659200000000000
7,1385856,BIG JJ FISH CHICKEN & MORE,BIG JJ FISH CHICKEN & MORE,2241001,Restaurant,5053 W DIVISION ST,CHICAGO,IL,60651,41.902168332400002,-87.753024784399997,1,1,Canvass,1,2330.876299999999900,214.546899999999990,160.248099999999990
8,1418759,TACO BURRITO KING,TACO BURRITO KING,2065146,Restaurant,5501 N HARLEM AVE,CHICAGO,IL,60656,41.981149750500002,-87.806809298399997,0,1,Short Form Complaint,1,2132.059999999999900,1092.196799999999900,778.682599999999980
9,1385855,"BEEFEE, INC.",BEEFEE,2289081,Restaurant,5433 W CHICAGO AVE,CHICAGO,IL,60651,41.894768780699998,-87.762057759000001,1,1,Short Form Complaint,1,1638.596200000000000,499.884200000000020,386.721299999999990
10,1387825,MAGGIE GYROS & CHICKEN,MAGGIE GYROS & CHICKEN,1869774,Restaurant,349 E 47TH ST,CHICAGO,IL,60653,41.809256591299999,-87.617666276400001,1,1,Complaint,1,614.960400000000050,253.241400000000000,505.067700000000000
11,1515505,BURGER KING #14476,BURGER KING,2232352,Restaurant,6950 S PULASKI RD,CHICAGO,IL,60629,41.766201554500000,-87.722593657499999,1,1,Canvass Re-Inspection,1,243.541200000000000,516.370800000000030,204.877399999999990
12,1515508,DUNKIN DONUTS,DUNKIN DONUTS / BASKIN & ROBBINS,2020845,Restaurant,100 W RANDOLPH ST,CHICAGO,IL,60601,41.884586267200000,-87.631010445900003,1,1,Short Form Complaint,1,260.761399999999980,689.993399999999950,561.507100000000040
13,1515512,PAULINES,PAULINES,2284694,Restaurant,1337 W FULLERTON AVE,CHICAGO,IL,60614,41.925127685400000,-87.662040670799996,1,1,Canvass,0,1003.632600000000000,424.392800000000020,80.963399999999993
14,1515509,BEAUDEVIN WINE BAR,BEAUDEVIN WINE BAR/T1 C-16,2363769,Restaurant,11601 W TOUHY AVE,CHICAGO,IL,60666,42.008536400899999,-87.914428439299996,1,0,License,1,0.000000000000000,22126.378400000001000,20207.507300000001000
15,1515510,Congress Pizza,Congress Pizza & Pasta,1980017,Restaurant,2033 N Milwaukee AVE,CHICAGO,IL,60647,41.918265955700001,-87.689528380400006,1,1,Short Form Complaint,1,175.781100000000010,699.421200000000000,470.422399999999980
16,1515511,BEAUDEVIN WINE BAR,BEAUDEVIN WINE BAR/T1 C-16,2363770,Restaurant,11601 W TOUHY AVE,CHICAGO,IL,60666,42.008536400899999,-87.914428439299996,0,0,License,1,0.000000000000000,22126.378400000001000,20207.507300000001000
17,1515514,TACOS DE CANASTA Y ANTOJITOS ORALE INC,TACOS DE CANASTA Y ANTOJITOS ORALE INC,2373513,Restaurant,1621 W 43RD ST,CHICAGO,IL,60609,41.815749343000000,-87.666125925000003,0,1,License,1,411.032100000000010,540.032900000000040,764.966099999999980
18,1385850,EL AZTECA,EL AZTECA,2124800,Restaurant,4154-4158 W ARMITAGE AVE,CHICAGO,IL,60639,41.917217114499998,-87.731229409299999,1,1,Complaint,0,721.347399999999990,608.261600000000040,292.798200000000010
19,1515515,FRONTERA TORTAS BY RICK  BAYLESS,FRONTERA TORTAS BY RICK BAYLESS (T1-B11),2363760,Restaurant,11601 W TOUHY AVE,CHICAGO,IL,60666,42.008536400899999,-87.914428439299996,1,1,License,1,0.000000000000000,22126.378400000001000,20207.507300000001000
20,1515516,FRONTERA TORTAS BY RICK  BAYLESS,FRONTERA TORTAS BY RICK BAYLESS (T1-B11),2363761,Restaurant,11601 W TOUHY AVE,CHICAGO,IL,60666,42.008536400899999,-87.914428439299996,0,1,License,1,0.000000000000000,22126.378400000001000,20207.507300000001000
21,1515517,"CARLYN BERGHOFF CATERING, INC.","CARLYN BERGHOFF CATERING, INC.",1676680,Restaurant,17 W ADAMS ST,CHICAGO,IL,60603,41.879341938800003,-87.628411888599999,1,1,Complaint,1,330.863099999999970,495.514000000000010,394.863999999999980
22,1515519,ALLENDE RESTAURANT,ALLENDE RESTAURANT,27794,Restaurant,2408 N LINCOLN AVE,CHICAGO,IL,60614,41.925602222800002,-87.649189288700001,1,1,Canvass,1,185.112699999999990,492.660199999999970,51.622199999999999
23,1515518,XOCO,XOCO,2299421,Restaurant,1471 N MILWAUKEE AVE,CHICAGO,IL,60622,41.908726093799999,-87.674660839400005,1,1,Complaint,1,184.819799999999990,321.813199999999990,587.101700000000050
24,1515520,WHAT'S COOKIN?,WHAT'S COOKIN?,2348704,Restaurant,6051 S RACINE AVE,CHICAGO,IL,60636,41.783564189800003,-87.654455925299999,1,1,License,1,1687.829500000000100,587.334200000000010,1060.266100000000100
25,1410239,YUN DING,YUN DING,2364198,Restaurant,2002 S WENTWORTH AVE,CHICAGO,IL,60616,41.855281703800003,-87.631992642300006,0,1,Short Form Complaint,1,550.192900000000010,434.276400000000020,348.894999999999980
26,1387826,BARBARA ANN'S BARBE-QUE INC.,BARBARA ANN'S BARBE-QUE INC.,1646157,Restaurant,7617 S COTTAGE GROVE AVE,CHICAGO,IL,60619,41.756215425500002,-87.605182393800007,1,1,Complaint,1,665.117200000000030,519.224200000000000,383.062999999999990
27,1467565,DUNKIN DONUTS,DUNKIN DONUTS,2137370,Restaurant,1519 W MADISON,CHICAGO,IL,60607,41.881358861599999,-87.665249388899994,1,1,Complaint Re-Inspection,1,1634.745799999999900,278.601000000000000,657.717999999999960
28,1515524,SABATINOS INC,SABATINOS,1192,Restaurant,4441-4443 W IRVING PARK RD,CHICAGO,IL,60641,41.953402857400000,-87.739602225799999,1,1,Complaint,1,2744.518999999999800,492.959600000000020,644.769800000000030
29,1515526,CHICAGO CAFFE,CHICAGO CAFE,2354409,Restaurant,2600 W 35TH ST,CHICAGO,IL,60632,41.830296068000003,-87.690058613500000,1,1,License Re-Inspection,1,3064.134500000000100,616.971199999999950,730.384800000000040
30,1515527,RAJ DARBAR,RAJ DARBAR,55355,Restaurant,2660 N HALSTED ST,CHICAGO,IL,60614,41.930751911500003,-87.649092333499993,1,1,Complaint,0,765.144199999999960,628.251600000000050,72.826800000000006
31,1387827,JOE'S CHICKEN,JOE'S CHICKEN,2263991,Restaurant,8211 S COTTAGE GROVE AVE,CHICAGO,IL,60619,41.745425337400000,-87.604926721300004,1,1,Complaint Re-Inspection,1,145.979999999999990,263.689399999999980,308.031600000000030
32,1515529,FRONTERA TORTAS  BY RICK BAYLESS GATE K4 T3,FRONTERA TORTAS BY RICK BAYLESS (T3 K4),2363763,Restaurant,11601 W TOUHY AVE,CHICAGO,IL,60666,42.008536400899999,-87.914428439299996,1,1,License,1,0.000000000000000,22126.378400000001000,20207.507300000001000
33,1387828,FIREHOUSE CAPTAIN HOOKS,FIREHOUSE CAPTAIN HOOKS,1883591,Restaurant,601 E 79TH ST,CHICAGO,IL,60619,41.751090653600002,-87.610018476999997,1,1,Complaint Re-Inspection,1,164.775399999999990,387.786600000000020,228.626000000000000
34,1467566,SUBWAY,SUBWAY,2269625,Restaurant,1525 W MADISON ST,CHICAGO,IL,60607,41.881356744400001,-87.665499345300006,1,1,Canvass,1,1624.823400000000000,325.221900000000010,628.484900000000040
35,1515532,FRONTERA TORTAS  BY RICK BAYLESS GATE K4 T3,FRONTERA TORTAS BY RICK BAYLESS (T3 K4),2363764,Restaurant,11601 W TOUHY AVE,CHICAGO,IL,60666,42.008536400899999,-87.914428439299996,0,1,License,1,0.000000000000000,22126.378400000001000,20207.507300000001000
36,1467567,PIZZERIA DEL MERCATO,PIZZERIA DEL MERCATO,2358907,Restaurant,1154 W FULTON MARKET,CHICAGO,IL,60607,41.886787695899997,-87.656693948699996,1,1,Short Form Complaint,1,776.051399999999940,538.614400000000050,752.179999999999950
37,1464680,COUSTA COFFEE,COUSTA COFFEE,2355055,Restaurant,4801 N MILWAUKEE AVE,CHICAGO,IL,60630,41.967965811100001,-87.760652459200003,1,1,License,0,3434.655099999999900,819.284400000000010,311.595399999999980
38,1418757,ICE BAR,ICE BAR,2363771,Restaurant,11601 W TOUHY AVE,CHICAGO,IL,60666,42.008536400899999,-87.914428439299996,1,1,License,1,0.000000000000000,22126.378400000001000,20207.507300000001000
39,1464681,AVENUE TAVERN,AVENUE TAVERN,1242927,Restaurant,2914-2916 N BROADWAY,CHICAGO,IL,60657,41.935358121999997,-87.644389166799996,1,1,Canvass,1,338.438499999999980,287.647400000000000,142.227300000000010
40,1467568,LA CUCHARA,LA CUCHARA,2157659,Restaurant,1521-1523 W MADISON ST,Chicago,IL,60607,41.881358155900003,-87.665332707700003,1,1,Canvass,1,1636.157200000000100,294.001399999999990,647.560799999999970
41,1418758,ICE BAR,ICE BAR,2363772,Restaurant,11601 W TOUHY AVE,CHICAGO,IL,60666,42.008536400899999,-87.914428439299996,1,0,License,1,0.000000000000000,22126.378400000001000,20207.507300000001000
42,1515521,GOLD COAST DOGS,GOLD COAST DOGS  (T3  L4),1884293,Restaurant,11601 W TOUHY AVE,CHICAGO,IL,60666,42.008536400899999,-87.914428439299996,1,1,Short Form Complaint,1,0.000000000000000,22126.378400000001000,20207.507300000001000
43,1464678,NOOKIES CAFE & RESTAURANT,NOOKIES CAFE & RESTAURANT,2108329,Restaurant,1100 W BRYN MAWR AVE,CHICAGO,IL,60660,41.983766484500002,-87.658111624000000,1,1,Complaint,1,291.519700000000000,610.874199999999970,396.619100000000000
44,1515477,TACO BELL,TACO BELL,2152257,Restaurant,1646-1648 W 95TH ST,CHICAGO,IL,60643,41.721298682899999,-87.664470484600002,1,1,Canvass,1,1870.830099999999900,716.754400000000030,677.148400000000040
45,1515473,MARIO'S GOLD COAST RISTORANTE,MARIO'S GOLD COAST RISTORANTE,38456,Restaurant,21 W GOETHE ST,CHICAGO,IL,60610,41.905697826000001,-87.629704560999997,1,1,Canvass,1,543.270700000000030,779.666600000000020,340.314399999999980
46,1515474,Au Bon Pain,Au Bon Pain,1979989,Restaurant,181 W Madison ST BLDG,CHICAGO,IL,60602,41.881840629999999,-87.633255089399995,1,1,Canvass,1,326.719299999999980,255.824700000000010,326.262600000000020
47,1385847,KING GARDEN,KING GARDEN CHINESE RESTAURANT,2368685,Restaurant,6954-56 W NORTH AVE,CHICAGO,IL,60707,41.909075748900001,-87.799338603600006,1,1,License,0,3715.722600000000100,752.581999999999990,587.939700000000020
48,1515482,TACO BELL #27900,TACO BELL,2373706,Restaurant,1646-1648 W 95TH ST,CHICAGO,IL,60643,41.721298682899999,-87.664470484600002,1,1,License,0,1870.830099999999900,716.754400000000030,677.148400000000040
49,1515471,BILLYS GOAT'S,BILLY GOAT TAVERN & GRILL,50158,Restaurant,1535 W MADISON ST,CHICAGO,IL,60607,41.881353214400001,-87.665915939300007,1,1,Canvass,0,1594.948100000000100,405.849800000000020,587.956599999999980
50,1515480,FRESHA PLACE, ,2360019,Restaurant,171 W RANDOLPH ST,CHICAGO,IL,60601,41.884361877499998,-87.633164537599995,1,1,License,1,488.055700000000000,295.803699999999990,155.048599999999990
51,1387820,SKY LAKE CHINESE KITCHEN,SKY LAKE CHINESE KITCHEN,2027332,Restaurant,108 W 111TH ST,CHICAGO,IL,60628,41.692657034299998,-87.626239263200006,1,1,Complaint,0,908.335500000000020,361.937500000000000,782.386100000000060
52,1515487,FOX'S BEVERLY PUB,FOX'S BEVERLY PUB,149,Restaurant,9956 S WESTERN AVE,CHICAGO,IL,60643,41.712012133199998,-87.681935408399994,1,1,Complaint,1,1842.175300000000100,1501.744400000000000,1612.897800000000000
53,1515486,KOHAN JAPANESE RESTAURANT,KOHAN JAPANESE RESTAURANT,1841301,Restaurant,730-732 W MAXWELL ST,CHICAGO,IL,60607,41.864901572299999,-87.646292290500000,1,1,Canvass,1,536.286399999999960,1039.278700000000100,567.986099999999960
54,1408286,REGAL CINEMAS CITY NORTH,REGAL CINEMAS CITY NORTH,2036431,Restaurant,2600 N WESTERN AVE BLDG,CHICAGO,IL,60647,41.928669789899999,-87.687922235499997,1,1,Short Form Complaint,1,725.751399999999990,546.548099999999980,555.089399999999960
55,1515489,PIZZERIA DA NELLA,PIZZERIA DA NELLA,1473886,Restaurant,1443-1445 W FULLERTON AVE,CHICAGO,IL,60614,41.925083972400003,-87.665043993300003,1,1,Canvass,1,496.794300000000020,261.135400000000000,67.991500000000002
56,1515491,YASSA AFRICAN RESTAURANT,YASSA AFRICAN RESTARUANT,2373633,Restaurant,3511 S DR MARTIN LUTHER KING JR DR,CHICAGO,IL,60653,41.830657312600003,-87.616810525700004,1,1,License,1,723.981099999999970,685.650899999999980,471.010100000000020
57,1385848,MEMOS TACOS INC,MEMOS TACOS,2125616,Restaurant,6322 W GRAND AVE,CHICAGO,IL,60639,41.922264833500002,-87.783831491399994,1,1,Canvass,1,1472.041600000000000,723.907000000000040,160.681299999999990
58,1515494,POPEYE'S CHICKEN & BISCUITS,POPEYE'S,1622615,Restaurant,3352 W LAWRENCE AVE,CHICAGO,IL,60625,41.968512941500002,-87.713051267200001,1,1,Canvass,1,419.028700000000010,430.058699999999990,283.010299999999970
59,1515495,EJ SUSHI,EJ SUSHI,2114541,Restaurant,131 N CLINTON,CHICAGO,IL,60661,41.884187507100002,-87.641119666799995,1,1,Canvass Re-Inspection,1,670.398299999999950,799.348200000000020,698.990000000000010
60,1515496,CHICAGO q,CHICAGO q,2021329,Restaurant,1160 N DEARBORN ST,CHICAGO,IL,60610,41.903674781799999,-87.630125824000004,1,1,Canvass Re-Inspection,1,444.788500000000000,654.201900000000020,375.279900000000000
61,1515498,SUBWAY,SUBWAY,2093693,Restaurant,1252 S HALSTED ST,CHICAGO,IL,60607,41.865599403300003,-87.647017859700000,1,1,Canvass Re-Inspection,1,606.735599999999980,1184.822699999999900,798.035499999999960
62,1515500,"BIRRIERIA EL VIEJO,INC.",BIRRIERIA EL VIEJO,2368327,Restaurant,2459 W 51ST ST,CHICAGO,IL,60632,41.801005437500002,-87.686616120099998,1,1,License Re-Inspection,1,625.460199999999990,675.555100000000040,308.723000000000010
63,1385849,CHINA EXPRESS REST,CHINA EXPRESS REST,27123,Restaurant,5663 W GRAND AVE,CHICAGO,IL,60639,41.919087585500002,-87.768218484299993,1,1,Canvass,0,1920.797499999999900,677.196599999999990,476.721999999999980
64,1515442,"CHICAGO'S GRILL FISH, CHICKEN","CHICAGO'S GRILL FISH, CHICKEN",2368860,Restaurant,5607 S RACINE AVE,CHICAGO,IL,60636,41.792087350099997,-87.654675118399993,1,1,License,1,3519.856499999999900,455.654000000000000,494.791600000000020
65,1515460,"DEVIL DOGS ON STATE STREET, LLC","DEVIL DOGS ON STATE STREET, LLC",2293793,Restaurant,767 S STATE ST,CHICAGO,IL,60605,41.871950357000003,-87.627383082999998,0,1,Canvass,1,333.992200000000030,486.499199999999970,839.687199999999960
66,1515443,YEN'S ON CLARK,YEN'S ON CLARK,2369176,Restaurant,2856 N CLARK ST,CHICAGO,IL,60657,41.934117874199998,-87.646123846699993,1,1,License,1,333.339699999999990,448.923099999999980,451.236499999999980
67,1515453,AL'S BEEF,AL'S BEEF,2013974,Restaurant,601 W ADAMS ST,CHICAGO,IL,60661,41.879163618000000,-87.642649959500005,0,1,Canvass,1,1003.096600000000000,743.608399999999960,726.190500000000040
68,1515454,EL POLLO REAL INC,EL POLLO REAL INC,2373713,Restaurant,3534 W 63RD ST,CHICAGO,IL,60629,41.778941268099999,-87.711794149400006,1,1,License,1,2360.889999999999900,634.578700000000030,480.026700000000010
69,1515456,POTBELLY SANDWICH WORKS LLC,POTBELLY,1300087,Restaurant,3424 N SOUTHPORT AVE,CHICAGO,IL,60657,41.944166481800004,-87.664084811600006,1,1,Canvass,1,114.969600000000000,341.936600000000000,148.317299999999990
70,1385844,"MONTICELLO FISH & CHICKEN,INC.","SHRIMP FIVE STAR,INC.",2373497,Restaurant,3635 W AUGUSTA BLVD,CHICAGO,IL,60651,41.898988396299998,-87.717715231699998,1,1,License,1,986.975800000000050,391.341900000000010,337.478099999999980
71,1439650,SUBWAY SANDWICHES,SUBWAY SANDWICHES,1354372,Restaurant,319 S JEFFERSON ST,CHICAGO,IL,60661,41.877399393700003,-87.642370646499998,1,1,Canvass Re-Inspection,1,822.900999999999950,327.531000000000010,936.703800000000000
72,1515441,LOU MITCHELL'S,LOU MITCHELL'S,30743,Restaurant,565 W JACKSON BLVD,CHICAGO,IL,60661,41.877904218600001,-87.642194824000001,1,1,Complaint Re-Inspection,1,894.983299999999990,360.306899999999980,927.703399999999990
73,1515450,"PUESTO SANDWICH STAND, INC",PUESTO SANDWICH,2373594,Restaurant,3349 N SHEFFIELD AVE,CHICAGO,IL,60657,41.943197684200001,-87.654059548399999,1,1,License,1,181.624300000000010,321.757099999999980,582.485199999999960
74,1515411,BANH MI BA GET,BANH MI BA GET,2373745,Restaurant,214 W VAN BUREN ST,CHICAGO,IL,60607,41.876949124600003,-87.634159342700002,1,1,License,1,319.325800000000020,689.901200000000020,551.367700000000010
75,1515408,BANH MI BA GET,BANH MI BA GET,2369036,Restaurant,214 W VAN BUREN ST,CHICAGO,IL,60607,41.876949124600003,-87.634159342700002,1,1,License Re-Inspection,1,319.325800000000020,689.901200000000020,551.367700000000010
76,1515407,BANH MI BA GET,BANH MI BA GET,2373696,Restaurant,3141 N BROADWAY ST,CHICAGO,IL,60657,41.938852023099997,-87.644211280700006,1,1,License,1,208.220200000000010,483.618499999999980,104.081400000000000
77,1515418,MOON'S SANDWICH SHOP,MOON'S SANDWICH SHOP,1804509,Restaurant,16 S WESTERN AVE,CHICAGO,IL,60612,41.880677409500002,-87.686566891300004,1,1,Canvass,1,2036.086700000000100,117.085400000000010,586.627200000000020
78,1515421,BELLA NOTTE,BELLA NOTTE,1379731,Restaurant,1374 W GRAND AVE,CHICAGO,IL,60642,41.891141494499998,-87.661956677600003,1,1,Canvass Re-Inspection,1,160.187700000000010,266.012299999999980,188.830999999999990
79,1515430,SUPER SUB AND GYROS 2 INC.,SUPER SUB AND GYROS 2 INC.,2364283,Restaurant,2451 W 63RD ST,CHICAGO,IL,60629,41.779118445400002,-87.685751518499998,1,1,License,1,3291.631500000000000,235.263499999999990,159.813500000000000
80,1515431,FRANK'S CHICAGO SHRIMP HOUSE,FRANK'S CHICAGO SHRIMP HOUSE,6414,Restaurant,4459 S ARCHER AVE,CHICAGO,IL,60632,41.812181052100001,-87.707124813299998,1,1,Canvass,1,1397.858899999999900,551.875999999999980,260.015400000000000
81,1385841,MICHOACANA GOLD, ,2349320,Restaurant,3234 W 26TH ST,CHICAGO,IL,60623,41.844609922499998,-87.706319343600001,1,1,License Re-Inspection,1,1187.422700000000100,519.960900000000040,579.411299999999980
82,1515438,MCDONALD'S,MCDONALD'S,1765916,Restaurant,5733 S KEDZIE AVE,CHICAGO,IL,60629,41.788891434200004,-87.703279592200005,1,1,Canvass Re-Inspection,1,1409.489800000000100,475.800500000000000,719.460100000000010
83,1515462,BAR LOUIE,BAR LOUIE,2026594,Restaurant,47 W POLK ST,CHICAGO,IL,60605,41.872166957799998,-87.629576797300004,1,1,Complaint,0,342.348900000000010,515.123900000000050,576.178999999999970
84,1464667,PETE'S  PIZZA & BAKE HOUSE,PETE'S  PIZZA & BAKE HOUSE,2084592,Restaurant,1100 W GRANVILLE AVE,CHICAGO,IL,60660,41.994685200500001,-87.658398132299993,1,1,Canvass,1,463.142600000000020,391.847600000000000,685.729500000000030
85,1445262,ZAPATISTA,ZAPATISTA,1592999,Restaurant,1307 S WABASH AVE,CHICAGO,IL,60605,41.865517449400002,-87.625648057999996,1,1,Canvass Re-Inspection,1,182.238900000000000,248.408999999999990,108.436899999999990
86,1464669,INDIE CAFE,INDIE  CAFE,1893492,Restaurant,5951-5953 N BROADWAY,CHICAGO,IL,60660,41.990520089599997,-87.660135907400004,1,1,Canvass,1,162.293600000000000,797.608100000000040,407.957499999999980
87,1464668,LE PITA,LE PITA FRESH,2294234,Restaurant,6141 N BROADWAY,CHICAGO,IL,60660,41.993475853800000,-87.660227305099994,1,1,Canvass Re-Inspection,1,522.007299999999990,360.813699999999980,390.732800000000000
88,1464665,CONN'S CAFE & CATERING INC,CONN'S CAFE & CATERING INC,33554,Restaurant,1535 W DEVON AVE,CHICAGO,IL,60660,41.997985218600000,-87.669107120400000,1,1,Canvass,1,152.094699999999990,665.314399999999980,335.919300000000020
89,1385835,LA MICHOACANA ICE CREAM SHOP 4,LA MICHOACANA,2289593,Restaurant,4610 W DIVERSEY AVE,CHICAGO,IL,60639,41.931698352799998,-87.742388777299993,1,1,License,0,704.082400000000010,440.255400000000010,775.161299999999980
90,1515361,PANDA EXPRESS #2456,PANDA EXPRESS,2360157,Restaurant,2949 W ADDISON AVE,CHICAGO,IL,60618,41.946542514800001,-87.702475831200005,0,1,License,1,1587.597000000000000,691.901500000000060,724.396200000000020
91,1515363,JASON'S DELI,JASON'S DELI,1909063,Restaurant,1258 S CANAL ST,CHICAGO,IL,60607,41.865651182100002,-87.639344630799997,1,1,Canvass,1,515.009400000000030,1480.930200000000000,1112.407899999999900
92,1515364,RONNY'S ORIGINAL STEAK HOUSE,RONNY'S ORIGINAL STEAK HOUSE,1069683,Restaurant,100 W RANDOLPH ST,CHICAGO,IL,60601,41.884586267200000,-87.631010445900003,1,1,Canvass,1,260.761399999999980,689.993399999999950,561.507100000000040
93,1515369,HANDCUT FOODS,CATHERINE COOK SCHOOL,2372990,Restaurant,226 W SCHILLER ST,CHICAGO,IL,60610,41.907757130400000,-87.635729398400002,1,1,License,0,1001.801800000000000,711.682599999999980,211.210100000000010
94,1515370,PITA EXPRESS,PITA EXPRESS,52356,Restaurant,100 W RANDOLPH ST,CHICAGO,IL,60601,41.884586267200000,-87.631010445900003,1,1,Canvass,1,260.761399999999980,689.993399999999950,561.507100000000040
95,1385836,WHALES FISH & CHICKEN,WHALES FISH SHRIMP CHICKEN,1766492,Restaurant,3600 W CHICAGO AVE,CHICAGO,IL,60651,41.895570010100002,-87.716377069299995,1,1,Short Form Complaint,1,557.359600000000000,511.041600000000020,394.261300000000010
96,1515372,FLYING WOK INC.,FLYING WOK INC.,2319999,Restaurant,6319 S DR MARTIN LUTHER KING JR DR,CHICAGO,IL,60637,41.779555320000000,-87.615462366499997,1,1,Canvass Re-Inspection,1,2625.315000000000100,249.481200000000000,501.518599999999990
97,1515371,LA CHOZA MEXICAN GRILL,LA CHOZA MEXICAN GRILL,1840862,Restaurant,7022 N CLARK ST,CHICAGO,IL,60626,42.009697980500000,-87.674274324799995,1,1,Canvass Re-Inspection,1,151.156800000000000,950.393199999999980,187.310599999999990
98,1515376,MCDONALDS #7069,MCDONALDS #7069,33145,Restaurant,6420 S CICERO AVE,CHICAGO,IL,60638,41.775941587699997,-87.742338692600001,1,1,Canvass Re-Inspection,1,2875.152300000000200,700.690799999999970,824.633500000000030
99,1515379,SUBWAY,SUBWAY,2289496,Restaurant,1232 S CANAL ST,CHICAGO,IL,60607,41.866329535399998,-87.639362587299999,1,1,Canvass,0,303.240999999999990,1399.689699999999900,1065.209200000000000
100,1515377,MAKKI GRILL,MAKKI FAST FOOD AND GRILL,2108759,Restaurant,4702 N KIMBALL AVE,CHICAGO,IL,60625,41.966727643799999,-87.713459942399993,1,1,Canvass,1,661.380000000000000,452.610799999999980,530.639300000000050
101,1387816,"EASTSIDE SHARKS, INC.",SHARKS,1545884,Restaurant,100 E 79TH ST,CHICAGO,IL,60619,41.751118140899997,-87.621307332499995,1,1,Canvass,1,2024.903100000000000,448.807200000000020,313.596700000000000
102,1515380,FLYING WOK INC.,FLYING WOK,2368908,Restaurant,6319 S DR MARTIN LUTHER KING JR DR,CHICAGO,IL,60637,41.779555320000000,-87.615462366499997,1,1,License,1,2625.315000000000100,249.481200000000000,501.518599999999990
103,1385837,SEE THRU CHINESE RESTAURANT,SEE THRU CHINESE RESTAURANT,1227055,Restaurant,800 N KEDZIE AVE,CHICAGO,IL,60651,41.895615313500002,-87.706705325100003,1,1,Short Form Complaint,1,1566.584599999999900,633.445200000000000,1034.878200000000100
104,1515388,CAFE HOANG,CAFE HOANG,1676735,Restaurant,232 W CERMAK RD,CHICAGO,IL,60616,41.852942745100002,-87.633377661099999,1,1,Complaint Re-Inspection,1,164.468999999999990,67.751099999999994,515.721499999999990
105,1515395,CHICAGO q,CHICAGO q,2021329,Restaurant,1160 N DEARBORN ST,CHICAGO,IL,60610,41.903674781799999,-87.630125824000004,1,1,Canvass,1,444.788500000000000,654.201900000000020,375.279900000000000
106,1387817,87TH FISH CORP.,WHALES,1908078,Restaurant,432 E 87TH ST,CHICAGO,IL,60619,41.736633761500002,-87.613075785099994,1,1,Canvass Re-Inspection,1,346.938699999999980,762.610800000000040,655.462099999999960
107,1385838,MICHOACANA GOLD, ,2349320,Restaurant,3234 W 26TH ST,CHICAGO,IL,60623,41.844609922499998,-87.706319343600001,1,1,License,0,1187.422700000000100,519.960900000000040,579.411299999999980
108,1515404,TRE KRONOR RESTAURANT,TRE KRONOR RESTAURANT,69257,Restaurant,3258 W FOSTER AVE,CHICAGO,IL,60625,41.975831128199999,-87.711060226100003,1,1,Canvass Re-Inspection,1,553.460299999999960,679.965900000000030,474.973299999999990
109,1515406,"WALLACE CATFISH, INC.","WALLACE CATFISH, INC.",1954531,Restaurant,2800 W MADISON ST,CHICAGO,IL,60612,41.881185442800003,-87.696362109099994,1,1,Complaint,1,1497.017599999999900,536.800899999999960,283.281299999999990
110,1515405,CHECKERS DRIVE-IN RESTAURANTS,CHECKERS,2177289,Restaurant,5451 S WENTWORTH AVE,CHICAGO,IL,60609,41.794915740800000,-87.630376665399993,1,1,Complaint,1,1002.966100000000000,677.502299999999990,386.141300000000000
111,1515394,PROTEIN BAR,PROTEIN BAR,2373749,Restaurant,151 N MICHIGAN AVE,CHICAGO,IL,60601,41.884540110600000,-87.624308522500002,0,1,License,1,329.932799999999990,549.203800000000000,221.726200000000010
