FID,Inspection,DBA_Name,AKA_Name,License__,Facility_T,Address,City,State,Zip,Latitude,Longitude,Violation,Risk1,Type,Pass1,d_13fail,d_cri14,d_sancom14
7491,1473706,Standard Bar & Grill,Standard Bar & Grill,1801293,Restaurant,1332 N MILWAUKEE AVE,CHICAGO,IL,60622,41.905884720200000,-87.670665085099998,1,1,Canvass,1,387.072099999999980,184.941100000000010,465.794800000000010
7492,1473707,ENDGRAIN,ENDGRAIN,2252847,Restaurant,1851 W ADDISON ST,CHICAGO,IL,60613,41.946788878000000,-87.675947031000007,1,1,Canvass,1,723.948999999999960,491.461799999999980,339.790000000000020
7493,1473715,SARPINO'S PIZZERIA,SARPINO'S PIZZERIA,1675815,Restaurant,6526 W NORTH AVE,CHICAGO,IL,60707,41.909204732399999,-87.789521540500004,1,1,Canvass Re-Inspection,1,3538.417899999999900,487.067500000000000,20207.507300000001000
7494,1305604,BIRRIERIA PATINO OCOTLAN,BIRRIERIA PATINO OCOTLAN,2054767,Restaurant,3813 W 26TH ST,CHICAGO,IL,60623,41.844199279100003,-87.720280406699999,1,1,Canvass,1,2317.753200000000100,140.626200000000010,686.201599999999980
7495,1473716,SALSITA,SALSITA,2289529,Restaurant,3706 N HALSTED ST,CHICAGO,IL,60613,41.949338132000001,-87.649696354200003,1,1,License Re-Inspection,1,693.997499999999950,510.976499999999990,381.245099999999980
7496,1473714,STARBUCKS COFFEE #21751,STARBUCKS,2334298,Restaurant,515 N STATE ST,CHICAGO,IL,60654,41.891418101200003,-87.627914756099997,0,1,License,0,269.948300000000020,202.880000000000000,342.304599999999990
7497,1473718,PIE CAFE,PIE CAFE,2141260,Restaurant,5357 N ASHLAND AVE,CHICAGO,IL,60640,41.979717096700000,-87.669564918199995,1,1,Canvass,1,389.188699999999980,465.973900000000010,795.926000000000040
7498,1305605,NATYS PIZZA 26,NATYS PIZZA 26,1974864,Restaurant,3849 W 26TH ST,CHICAGO,IL,60623,41.844180372399997,-87.721591392999997,1,1,Canvass,1,2124.438400000000000,150.354600000000000,303.889999999999990
7499,1385401,"GOLDEN HOOK FISH, CHICKEN","GOLDEN HOOK FISH, CHICKEN",2069859,Restaurant,5215 W CHICAGO AVE BLDG E2,CHICAGO,IL,60651,41.894814699299999,-87.756302159000001,1,1,Complaint,1,1632.951399999999900,512.443999999999960,342.304599999999990
7500,1473719,LOS GAVILANES,LOS GAVILANES,2087698,Restaurant,2147 S CALIFORNIA AVE,CHICAGO,IL,60608,41.852329227600002,-87.695311889699994,1,1,Canvass,1,1252.679300000000000,382.578300000000010,805.176299999999970
7501,1473720,THE ATLANTIC BAR & GRILL,THE ATLANTIC BAR & GRILL,12594,Restaurant,5062 N LINCOLN AVE,CHICAGO,IL,60625,41.973412392699998,-87.691817463700005,1,1,Canvass,0,423.257799999999970,644.105500000000010,671.874500000000010
7502,1471328,BARBAKAN RESTAURANT,BARBAKAN RESTAURANT,1043591,Restaurant,3143-3145 N CENTRAL AVE,CHICAGO,IL,60634,41.938034683100000,-87.766332003599999,1,1,Canvass,1,666.893599999999990,486.451900000000020,20207.507300000001000
7503,1473726,O'cha Thai Cuisine,O'cha Thai,2192620,Restaurant,2062 N Damen AVE,CHICAGO,IL,60647,41.919490903600000,-87.677830109799999,1,1,Canvass,1,155.828100000000010,473.569300000000000,504.375200000000010
7504,1467335,POTBELLY SANDWICH SHOP,POTBELLY SANDWICH SHOP,2333086,Restaurant,1018 S CANAL,CHICAGO,IL,60607,41.869137222600003,-87.639401746800004,1,1,License,1,860.259800000000040,1262.291800000000000,611.456500000000010
7505,1473727,Jitlada Thai House Restaurant,Jitlada Thai House Restaurant,1959797,Restaurant,3715-3717 N HALSTED ST,CHICAGO,IL,60613,41.949557060799997,-87.649409296200005,1,1,Complaint,0,644.093899999999960,508.088700000000020,202.162100000000010
7506,1473730,SILVER'S SEAFOOD RESTAURANT,SILVER'S SEAFOOD RESTAURANT,1144034,Restaurant,4829 N BROADWAY,CHICAGO,IL,60640,41.969894648900002,-87.659547022100000,1,1,Complaint,0,191.708300000000010,531.946500000000010,728.134800000000040
7507,1473729,TAQUERIA TAYAHUA,TAQUERIA TAYAHUA,44026,Restaurant,2411 S WESTERN AVE,CHICAGO,IL,60608,41.848041746400000,-87.685380298300004,1,1,Canvass,0,2105.781399999999800,402.147699999999990,1108.596000000000000
7508,1447348,MONK'S PUB,MONK'S PUB,1077,Restaurant,205-207 W LAKE ST,CHICAGO,IL,60606,41.885618494600003,-87.634122358100001,1,1,Canvass Re-Inspection,1,587.850699999999960,216.336299999999990,871.572499999999990
7509,1387529,BURGER KING #181,BURGER KING #181,2232342,Restaurant,28 E 87TH ST,CHICAGO,IL,60619,41.736469112999998,-87.623024124200001,1,1,Short Form Complaint,1,1872.732199999999900,583.668999999999980,431.870900000000010
7510,1473734,NICKY'S HOT DOGS,NICKY'S HOT DOGS,3903,Restaurant,3140 W 47TH ST,CHICAGO,IL,60632,41.808244491600000,-87.703168859599998,1,1,Canvass,1,1055.544300000000000,546.840100000000010,454.310499999999990
7511,1473733,KENTUCKY FRIED CHICKEN 521051,KENTUCKY FRIED CHICKEN,1816825,Restaurant,3696 S ARCHER AVE,CHICAGO,IL,60609,41.826518542899997,-87.684204982400004,1,1,Complaint,1,2106.234300000000100,1038.908400000000000,351.145800000000010
7512,1473735,"BEREKE, INC..",BEREKE RESTAURANT,2241067,Restaurant,2114 W LAWRENCE AVE,CHICAGO,IL,60625,41.968819723599999,-87.682291503700000,1,1,Canvass,1,1236.613100000000000,776.664099999999960,767.802400000000030
7513,1473739,WEBER GRILL RESTAURANT,WEBER GRILL RESTAURANT,1196614,Restaurant,539 N STATE ST,CHICAGO,IL,60610,41.892001133500003,-87.627928961699993,1,1,Complaint,1,180.120900000000010,325.718200000000020,318.572900000000000
